t,B00_z_0000_00
0.0,(0.17518564992327235+1.8523936599340405j)
0.01,(0.1840206097720476+1.786409616590705j)
0.02,(0.1912885033806791+1.7239976789028424j)
0.03,(0.1971694367406866+1.6649416350552508j)
0.04,(0.201821997320699+1.609039965248688j)
0.05,(0.20538601524014968+1.5561049739527706j)
0.06,(0.20798494414017227+1.5059619175956211j)
0.07,(0.2097279159433548+1.45844814467948j)
0.08,(0.2107115159488354+1.4134122600670456j)
0.09,(0.21102131804271487+1.3707133212495153j)
0.1,(0.21073321408036075+1.3302200714781234j)
0.11,(0.20991456659212585+1.2918102124807864j)
0.12,(0.20862520976514126+1.2553697179125625j)
0.13,(0.20691832006191538+1.2207921875632504j)
0.14,(0.2048411747647432+1.1879782415597078j)
0.15,(0.20243581410824107+1.1568349532714146j)
0.16,(0.19973962041593882+1.1272753192914329j)
0.17,(0.19678582573529083+1.0992177646720331j)
0.18,(0.19360395782130974+1.0725856815069528j)
0.19,(0.19022023291189252+1.047306998941442j)
0.2,(0.18665790253335368+1.0233137827346395j)
0.21,(0.18293756054345253+1.000541862579339j)
0.22,(0.17907741573635952+0.9789304854889627j)
0.23,(0.17509353457830057+0.9584219936806962j)
0.24,(0.17100005799594772+0.9389615255100312j)
0.25,(0.1668093955864806+0.9204967381399669j)
0.26,(0.16253240014536174+0.9029775507539576j)
0.27,(0.1581785250038517+0.8863559072425884j)
0.28,(0.15375596632332114+0.8705855574080599j)
0.29,(0.14927179219902245+0.8556218558366205j)
0.3,(0.14473206017481663+0.8414215776864021j)
0.31,(0.14014192455605679+0.8279427507263007j)
0.32,(0.13550573472485378+0.8151445030404594j)
0.33,(0.13082712550548378+0.8029869258825737j)
0.34,(0.12610910049353272+0.7914309512247072j)
0.35000000000000003,(0.12135410914685282+0.7804382435966642j)
0.36,(0.11656411833636457+0.7699711058542866j)
0.37,(0.11174067896741041+0.7599923985482738j)
0.38,(0.10688498820540634+0.75046547258922j)
0.39,(0.10199794777092397+0.7413541149193081j)
0.4,(0.09708021870738595+0.7326225069062647j)
0.41000000000000003,(0.09213227296787685+0.7242351951704633j)
0.42,(0.08715444211506143+0.7161570745411335j)
0.43,(0.08214696337900479+0.7083533828122073j)
0.44,(0.0771100232712231+0.7007897069321932j)
0.45,(0.07204379890918362+0.6934320002155543j)
0.46,(0.06694849716358389+0.6862466101055016j)
0.47000000000000003,(0.06182439170112034+0.6792003159503409j)
0.48,(0.05667185795834462+0.6722603761782675j)
0.49,(0.0514914060479786+0.665394584169956j)
0.5,(0.04628371156823258+0.658571332036056j)
0.51,(0.041049644258824965+0.65175968140982j)
0.52,(0.03579029442517784+0.6449294402661415j)
0.53,(0.030506997035283583+0.638051244680247j)
0.54,(0.025201353382578978+0.631096644345571j)
0.55,(0.01987525020329433+0.6240381905846875j)
0.56,(0.014530876138469019+0.6168495255134838j)
0.5700000000000001,(0.009170735439251492+0.6095054709610385j)
0.58,(0.0037976588290870392+0.6019821157097871j)
0.59,(-0.001585188542474028+0.5942568996060985j)
0.6,(-0.006974302093039455+0.5863086931034296j)
0.61,(-0.012365835755370242+0.5781178708411766j)
0.62,(-0.017755602853520923+0.5696663779337118j)
0.63,(-0.023139079844548133+0.560937787746392j)
0.64,(-0.0285114128270941+0.551917350067903j)
0.65,(-0.033867426683618376+0.5425920287493197j)
0.66,(-0.03920163669178586+0.5329505280666714j)
0.67,(-0.04450826241411204+0.5229833072713819j)
0.68,(-0.04978124365478271+0.5126825830165113j)
0.6900000000000001,(-0.0550142582596847+0.5020423195801769j)
0.7000000000000001,(-0.060200741530796624+0.4910582070442144j)
0.71,(-0.06533390702944385+0.47972762781909123j)
0.72,(-0.07040676855430651+0.46804961212829554j)
0.73,(-0.07541216309877655+0.4560247832702119j)
0.74,(-0.08034277461714753+0.44365529365676454j)
0.75,(-0.08519115845863444+0.43094475278065447j)
0.76,(-0.08994976636050614+0.4178981483827156j)
0.77,(-0.09461097192459753+0.4045217621749343j)
0.78,(-0.09916709653299714+0.3908230815215408j)
0.79,(-0.10361043568666256+0.37681070849022047j)
0.8,(-0.1079332857731526+0.3624942676591874j)
0.81,(-0.11212797128492212+0.34788431400614456j)
0.8200000000000001,(-0.11618687251643985+0.33299224211561623j)
0.8300000000000001,(-0.12010245376596348+0.3178301978262578j)
0.84,(-0.12386729205588581+0.3024109933045874j)
0.85,(-0.12747410636443482+0.2867480263815868j)
0.86,(-0.13091578733201364+0.27085520482931436j)
0.87,(-0.13418542736894706+0.25474687609141744j)
0.88,(-0.13727635104964284+0.23843776281926032j)
0.89,(-0.14018214563331313+0.2219429044087303j)
0.9,(-0.14289669150579382+0.20527760458545358j)
0.91,(-0.1454141922931178+0.18845738495114941j)
0.92,(-0.14772920435779688+0.1714979442834161j)
0.93,(-0.14983666535554246+0.15441512327678938j)
0.9400000000000001,(-0.15173192150545317+0.13722487432512534j)
0.9500000000000001,(-0.1534107532121979+0.119943235874205j)
0.96,(-0.15486939867566474+0.10258631081829825j)
0.97,(-0.15610457513267048+0.08517024837409608j)
0.98,(-0.15711349739683445+0.06771122883834185j)
0.99,(-0.1578938933962584+0.050225450619771295j)
1.0,(-0.15844401645331121+0.03272911892957432j)
1.01,(-0.15876265410515747+0.015238435515441396j)
1.02,(-0.1588491333257764-0.002230411169562685j)
1.03,(-0.15870332207777638-0.019661255962150494j)
1.04,(-0.15832562719271176-0.03703796773438878j)
1.05,(-0.15771698864907427-0.054344461461694166j)
1.06,(-0.15687887038485937-0.0715647121688888j)
1.07,(-0.15581324784392625-0.08868277129105008j)
1.08,(-0.15452259250986838-0.10568278596329997j)
1.09,(-0.15300985372577694-0.12254902172588705j)
1.1,(-0.15127843813158312-0.1392658890961655j)
1.11,(-0.14933218707163293-0.15581797441558476j)
1.12,(-0.1471753523333876-0.1721900753259209j)
1.1300000000000001,(-0.14481257057384866-0.1883672411633835j)
1.1400000000000001,(-0.14224883677423356-0.2043348184810297j)
1.1500000000000001,(-0.13948947703684378-0.22007850181879582j)
1.16,(-0.13654012100268526-0.23558438973673057j)
1.17,(-0.1334066741263005-0.2508390460116843j)
1.18,(-0.13009528999779163-0.2658295657724766j)
1.19,(-0.1266123428536489-0.2805436462158605j)
1.2,(-0.12296440037028002-0.29496966140845493j)
1.21,(-0.1191581967894928-0.30909674054192754j)
1.22,(-0.11520060638584265-0.3229148488741989j)
1.23,(-0.11109861725361106-0.3364148704627934j)
1.24,(-0.10685930536769936-0.3495886916823439j)
1.25,(-0.1024898088588786-0.362429284421269j)
1.26,(-0.09799730244005454-0.37493078777714356j)
1.27,(-0.09338897192635406-0.3870885870201579j)
1.28,(-0.08867198880723472-0.39889938857246615j)
1.29,(-0.08385348485228757-0.41036128976046665j)
1.3,(-0.07894052676234783-0.42147384213835426j)
1.31,(-0.07394009091203087-0.43223810725473605j)
1.32,(-0.06885903826674702-0.4426567038385765j)
1.33,(-0.0637040895944204-0.4527338455139339j)
1.34,(-0.058481801127386004-0.4624753683114303j)
1.35,(-0.05319854086128739-0.4718887474237695j)
1.36,(-0.0478604657035353-0.4809831028476741j)
1.37,(-0.0424734997026759-0.4897691937596101j)
1.3800000000000001,(-0.03704331360093519-0.4982594016815437j)
1.3900000000000001,(-0.03157530595479909-0.5064677026996491j)
1.4000000000000001,(-0.02607458606275232-0.5144096291975093j)
1.41,(-0.020545958925678787-0.522102221750557j)
1.42,(-0.014993912444744895-0.5295639719956221j)
1.43,(-0.009422607034995695-0.5368147574346811j)
1.44,(-0.0038358678017702307-0.5438757692524175j)
1.45,(0.001762820607073834-0.5507694343212144j)
1.46,(0.007370316395668188-0.5575193326339785j)
1.47,(0.012983820219306103-0.5641501114449912j)
1.48,(0.01860087198001135-0.570687397412963j)
1.49,(0.024219344841172524-0.5771577080305695j)
1.5,(0.029837436510923257-0.5835883635935308j)
1.51,(0.035453657866221996-0.5900074009127786j)
1.52,(0.04106681900656006-0.5964434899087173j)
1.53,(0.0466760128376002-0.6029258541504512j)
1.54,(0.05228059629075222-0.6094841963184824j)
1.55,(0.05788016928486371-0.6161486294799975j)
1.56,(0.06347455153115233-0.6229496149743814j)
1.57,(0.0690637572726767-0.6299179076156359j)
1.58,(0.07464796803555798-0.6370845088300988j)
1.59,(0.0802275034514036-0.644480628264067j)
1.6,(0.08580279018952272-0.6521376543179392j)
1.61,(0.09137432901411015-0.6600871339922961j)
1.62,(0.09694265995608825-0.6683607623674972j)
1.6300000000000001,(0.10250832556212897-0.6769903819821825j)
1.6400000000000001,(0.10807183215479643-0.6860079923275473j)
1.6500000000000001,(0.11363360900789402-0.695445769633207j)
1.6600000000000001,(0.11919396530995367-0.7053360970866023j)
1.67,(0.12475304475619009-0.7157116056007505j)
1.68,(0.13031077757481602-0.7266052252243355j)
1.69,(0.13586682975684217-0.738050247273123j)
1.7,(0.1414205492186767-0.7500803972521479j)
1.71,(0.1469709085830756-0.7627299186335799j)
1.72,(0.15251644421522167-0.7760336675553947j)
1.73,(0.15805519109562968-0.7900272185106295j)
1.74,(0.16358461304873198-0.8047469811059006j)
1.75,(0.16910152777372206-0.8202303279807734j)
1.76,(0.1746020260406488-0.8365157339962997j)
1.77,(0.1800813843177892-0.8536429268212827j)
1.78,(0.18553396998368482-0.8716530490682384j)
1.79,(0.19095313814638487-0.8905888321570368j)
1.8,(0.1963311189406378-0.9104947821120828j)
1.81,(0.20165889399799633-0.9314173775275656j)
1.82,(0.20692606058176108-0.9534052799633287j)
1.83,(0.2121206816447735-0.9765095570593717j)
1.84,(0.2172291197993859-1.0007839186774026j)
1.85,(0.2222358528811671-1.0262849663900004j)
1.86,(0.22712326843638694-1.0530724566377923j)
1.87,(0.2318714340629197-1.0812095778575368j)
1.8800000000000001,(0.2364578400793478-1.1107632418428963j)
1.8900000000000001,(0.24085711048159741-1.1418043895272731j)
1.9000000000000001,(0.24504067756380413-1.1744083112650148j)
1.9100000000000001,(0.2489764149230906-1.2086549815221421j)
1.92,(0.2526282228288644-1.2446294076566726j)
1.93,(0.25595555910796286-1.282421992154921j)
1.94,(0.2589129077689713-1.3221289072736049j)
1.95,(0.26144917655366845-1.3638524804940084j)
1.96,(0.2635070134523038-1.4077015884944897j)
1.97,(0.26502203094436405-1.4537920564563327j)
1.98,(0.2659219253210185-1.5022470583932386j)
1.99,(0.2661254769050668-1.5531975127863682j)
2.0,(0.26554141530801423-1.6067824660548011j)
