t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004
0.98,(0.1279009584211059-0.10647534413848127j),(0.0013179479559805687-0.0016432916870042027j),(-0.0002565529310544881-8.703968993339136e-05j),(6.534296055637451e-10+3.696895158292298e-10j),(0.07077504352940575-0.018238744990708614j)
0.99,(0.09884703923460166-0.14616146108518044j),(0.0008275604609562639-0.0022625427316895247j),(-0.00025461878275732155+1.7269761759647392e-05j),(8.791178003295385e-10-1.232445323396231e-10j),(0.07154795269643108-0.03889282814541685j)
1.0,(0.05753735044260658-0.17744940021895222j),(7.151816197920659e-05-0.0027468509836777646j),(-0.0002149660735389329+0.00010747891066205303j),(7.510450373556145e-10-7.510908897012791e-10j),(0.06657814470134774-0.06112161893108811j)
1.01,(0.006569325686675162-0.1965305383629397j),(-0.0009163950437138112-0.0029876898522389925j),(-0.00014760346871906904+0.00017153676662161771j),(1.902172054515408e-10-1.2706413685433765e-09j),(0.055109096388885226-0.08332166674432083j)
1.02,(-0.050264184601732445-0.20045836362095595j),(-0.0020589767994208274-0.002883975183167878j),(-6.57337531363127e-05+0.00020267712302375303j),(-7.213186634685543e-10-1.393819836333079e-09j),(0.036848835272981904-0.10359690357861236j)
1.03,(-0.10828080241984264-0.18752688000444082j),(-0.0032369435039823623-0.0023594284759295772j),(1.6670630998850746e-05+0.0001999311424496641j),(-1.7163252894390976e-09-8.908986047038817e-10j),(0.012075043625500064-0.11990125649102291j)
1.04,(-0.16233443041739815-0.15753340885407116j),(-0.004297290043901772-0.0013797467176315478j),(8.71595230318877e-05+0.00016763168298652796j),(-2.3825832566821913e-09+2.945281376307503e-10j),(-0.018307350633507864-0.13021817626435112j)
1.05,(-0.20731581267856522-0.11188990405345142j),(-0.005068650029019258+3.3285135477977446e-05j),(0.00013658489172554812+0.000114106571215121j),(-2.2720767957812847e-09+1.9580458225230327e-09j),(-0.052767505560171624-0.1327597815535417j)
1.06,(-0.2386708390011098-0.05356245974632341j),(-0.005382396851331449+0.0017936079200701394j),(0.00016012460573344774+4.9880251943519e-05j),(-1.060304106561298e-09+3.614411582771241e-09j),(-0.08921620170762362-0.12616456398536965j)
1.07,(-0.2528771328040222+0.013158544401060943j),(-0.005097019536456925+0.00375095100363853j),(0.00015747279608285074-1.4248375231310643e-05j),(1.2855749550766705e-09+4.572051045078489e-09j),(-0.12513775236087246-0.10967136061610674j)
1.08,(-0.24782393764876468+0.0830336058952278j),(-0.004122450570623726+0.005700329026415496j),(0.0001322777425849668-6.89100554685869e-05j),(4.384530744416245e-09+4.103957354928882e-09j),(-0.15777582490560396-0.0832482917781759j)
1.09,(-0.22305172387331784+0.1503540602770486j),(-0.0024405967074135485+0.007400784773584083j),(9.10293196260735e-05-0.00010739726456240336j),(7.418456091630133e-09+1.6857451052354337e-09j),(-0.18435685155887302-0.047659975881813296j)
1.1,(-0.17982523142097578+0.2094736794880639j),(-0.0001185451748861384+0.00860166897046887j),(4.166426402604784e-05-0.00012629117107861612j),(9.241942720624598e-09-2.756419671207497e-09j),(-0.2023293035581582-0.0044627577394911674j)
1.11,(-0.12103380894376188+0.2553337065532422j),(0.0026882499370852186+0.009073406074705687j),(-7.836390110901323e-06-0.00012547689387743026j),(8.62583481366105e-09-8.660786399024604e-09j),(-0.20959470741354994+0.044074352217376024j)
1.12,(-0.05093306101531044+0.283925607568662j),(0.005744163348931974+0.008638774938970879j),(-5.062839826952551e-05-0.00010764683788253707j),(4.596218469770208e-09-1.4776974349194668e-08j),(-0.20470686258379894+0.09511706247118276j)
1.1300000000000001,(0.025240742095520664+0.2926450703607445j),(0.008752720781245869+0.007200412059250427j),(-8.181302315273414e-05-7.746123826867246e-05j),(-3.2036253755459853e-09-1.9289724174845137e-08j),(-0.18701913852400948+0.1454680788417576j)
1.1400000000000001,(0.1017394301887001+0.2805051168622235j),(0.011385161090456593+0.0047605908878769095j),(-9.881312145102665e-05-4.056115194902211e-05j),(-1.4219413780640568e-08-2.0124053922939334e-08j),(-0.15676544430305683+0.19180513323734288j)
1.1500000000000001,(0.17280430102692088+0.2481933678565749j),(0.013314980328519873+0.0014302894759819357j),(-0.00010133973449561946-2.6156612383247503e-06j),(-2.684768066385102e-08-1.5390042059014878e-08j),(-0.11506764178738221+0.23093230405011225j)
1.16,(0.23314939419451702+0.19797607103206977j),(0.014254309101257048-0.002574031289673461j),(-9.103451034347894e-05+3.145727939663757e-05j),(-3.85139754023296e-08-3.885017399821041e-09j),(-0.06386983571190052+0.2600215264547524j)
1.17,(0.27838163148771516+0.13346724708765684j),(0.013987695000037688-0.006945889740789836j),(-7.090749161484607e-05+5.80140964868913e-05j),(-4.598391636865809e-08+1.4452526201392903e-08j),(-0.005807156581733565+0.276823112351798j)
1.18,(0.30532290988861865+0.05929349891995772j),(0.012399213734840321-0.011314852331076748j),(-4.4696182639373305e-05+7.492902439879798e-05j),(-4.587218885944411e-08+3.8242667005292894e-08j),(0.05597745715873568+0.27982815171912906j)
1.19,(0.31221202294465705-0.019306958751364053j),(0.009489764092735872-0.015280260725293244j),(-1.625585970975805e-05+8.158269617726162e-05j),(-3.526856664654084e-08+6.459810990394143e-08j),(0.11805070593365827+0.268370605110476j)
1.2,(0.29877844472055254-0.09691059716745015j),(0.005382625035662969-0.018448874095609746j),(1.0939382052913174e-05+7.865389414867193e-05j),(-1.2370296223594837e-08+8.93296559106894e-08j),(0.1769211661247065+0.2426643069369209j)
1.21,(0.26619306678364124-0.16832277966348758j),(0.00031667997068689615-0.02047231785750585j),(3.4140968803805945e-05+6.778773263588442e-05j),(2.299650486202734e-08+1.0740775536520599e-07j),(0.22926739518843814+0.2037779175740209j)
1.22,(0.2169101728652682-0.22894402599158278j),(-0.005371518345469055-0.02108034308897537j),(5.150415635079449e-05+5.1214307361416214e-05j),(6.906580443311317e-08+1.1361554193335601e-07j),(0.2721440764698747+0.15355025555218024j)
1.23,(0.15442410610811225-0.27506482210843863j),(-0.011274858789862594-0.020106732958599504j),(6.21164403598137e-05+3.137988021979156e-05j),(1.220935474669284e-07+1.0329273824759343e-07j),(0.3031538288748612+0.09445897094379935j)
1.24,(0.08296824822631328-0.30407215534006915j),(-0.016948949372155634-0.01750556965796684j),(6.590864775117906e-05+1.0635374752102982e-05j),(1.7660676906729687e-07+7.305441325613666e-08j),(0.32057474417224524+0.029454693943238693j)
1.25,(0.007185406134629202-0.3145609740387453j),(-0.02194816099128287-0.013356750778446001j),(6.348898636368794e-05-8.992707640455381e-06j),(2.2590581346494702e-07+2.1375230647420834e-08j),(0.32343848885686904-0.03822517978919949j)
1.26,(-0.06820275137772326-0.3063524165936851j),(-0.025861031691307226-0.007860796550739329j),(5.593989885075862e-05-2.5941618494836463e-05j),(2.6274617467220094e-07-5.104447620555063e-08j),(0.3115580410532677-0.10524897291835747j)
1.27,(-0.1387032121804207-0.280427766136369j),(-0.028341979531685827-0.0013240074169376527j),(4.461156953889805e-05-3.9168364821475806e-05j),(2.8010274688663394e-07-1.4117641328519815e-07j),(0.28550782700467275-0.16837659724720394j)
1.28,(-0.20031719255336694-0.2387922818944266j),(-0.029136894613378105+0.005864181108698711j),(3.093695474231119e-05-4.813767055505265e-05j),(2.719138047221214e-07-2.4382933303568073e-07j),(0.24656194960240785-0.2246279622546936j)
1.29,(-0.24975065403688165-0.18428621641160692j),(-0.02810096236172326+0.013259294153320132j),(1.62834942535743e-05-5.276133765141429e-05j),(2.337135348053048e-07-3.5204666461851045e-07j),(0.19659824770439-0.2714256045955658j)
1.3,(-0.28456249428035996-0.12036156180909467j),(-0.025207902092123216+0.02039279740748333j),(1.8478546884328149e-06-5.330875964746157e-05j),(1.6308611938100936e-07-4.576738216077942e-07j),(0.13797708167217343-0.3067059503232333j)
1.31,(-0.30324850178210416-0.05084265593170764j),(-0.02055059303089391+0.0268034448556966j),(-1.1406882224718473e-05-5.030598737352486e-05j),(5.990532256471955e-08-5.520171013721567e-07j),(0.07340408399971568-0.3289962877212736j)
1.32,(-0.30526369233834894+0.020312904644970424j),(-0.014333733571989372+0.032066740818590775j),(-2.277688104443285e-05-4.443691560483761e-05j),(-7.364481860828924e-08-6.265143986195907e-07j),(0.0057857777202491995-0.33745693538302773j)
1.33,(-0.2909891434628966+0.08923914477096598j),(-0.006859694770254198+0.03582067457098824j),(-3.181392755892653e-05-3.6455855205644795e-05j),(-2.3324529553827137e-07-6.733476544770945e-07j),(-0.061913886532459675-0.3318901073028603j)
1.34,(-0.2616518567392149+0.15236150334295617j),(0.0014909319940234539+0.03778638020129792j),(-3.830118139435365e-05-2.7116705894281727e-05j),(-4.1277089177449237e-07-6.8594449945584e-07j),(-0.126809220207715-0.31271853861535226j)
1.35,(-0.21920759623605918+0.20656419577526186j),(0.010282482581099867+0.03778297447587044j),(-4.221648674859807e-05-1.7120541901879813e-05j),(-6.047196982384485e-07-6.593372373923473e-07j),(-0.18621514582963378-0.2809389215917455j)
1.36,(-0.16619697679948028+0.24931931437414337j),(0.019049249452544822+0.035735938076823355j),(-4.36902052592103e-05-7.081130953986285e-06j),(-8.006876724461747e-07-5.903709287726808e-07j),(-0.23775250190922384-0.23805232229483414j)
1.37,(-0.10558492534393621+0.2787766387529108j),(0.027320867266836548+0.0316794257553126j),(-4.2962786702887574e-05+2.4939473101222208e-06j),(-9.918387042366788e-07-4.777670857891428e-07j),(-0.27943357930932317-0.18597901353217064j)
1.3800000000000001,(-0.0405930171355413+0.2938144195096877j),(0.03464680173784161+0.02575293112926094j),(-4.0345786700410776e-05+1.1209580914530584e-05j),(-1.169330654814452e-06-3.22064985080062e-07j),(-0.30972637217793325-0.12696292584150823j)
1.3900000000000001,(0.025466884164031055+0.29405237935087447j),(0.04061864126337137+0.018192784851866373j),(-3.618854599582659e-05+1.8779987752839977e-05j),(-1.3246698825744296e-06-1.254727439364993e-07j),(-0.32759698283410577-0.06346851304322942j)
1.4000000000000001,(0.0893505920584853+0.2798307463314176j),(0.04488933583709079+0.00931944264451127j),(-3.085146928297589e-05+2.501929833185864e-05j),(-1.449980650916548e-06+1.0833862161646447e-07j),(-0.33253041318479587+0.001924654833301287j)
1.41,(0.14802551776861672+0.2521596519611402j),(0.047188776028349276-0.0004784853110713012j),(-2.4685956784646748e-05+2.982851172326216e-05j),(-1.5381872727970656e-06+3.7446542740800574e-07j),(-0.32453082547377654+0.06662560387632832j)
1.42,(0.198796248588973+0.21264374500708047j),(0.04733536019723973-0.010762495738509766j),(-1.8020443214485373e-05+3.3180934826787185e-05j),(-1.5831163940394947e-06+6.669972148225593e-07j),(-0.3041029045697971+0.12813054052301465j)
1.43,(0.23940873195364773+0.1633870845155746j),(0.04524342107515515-0.02106381546811858j),(-1.1151654987280273e-05+3.5107658637101856e-05j),(-1.5795337544620424e-06+9.792156153871996e-07j),(-0.2722163528502238+0.1841134257440515j)
1.44,(0.26813111061272954+0.10688335934973706j),(0.04092656606230169-0.030903535843994894j),(-4.340050235808717e-06+3.568411651717866e-05j),(-1.5231341583004027e-06+1.3037501922919651e-06j),(-0.2302558198045847+0.2325061982239646j)
1.45,(0.28381018935719865+0.04589630720497319j),(0.03449712666297723-0.03981251025739841j),(2.191600118659506e-06+3.501834109026434e-05j),(-1.4105056055982437e-06+1.6326819327781551e-06j),(-0.17995873566883477+0.2715668183176194j)
1.46,(0.2859032900375147-0.016665065714890445j),(0.02616201280589723-0.04735038035415456j),(8.25744882861003e-06+3.324119940614706e-05j),(-1.2390891114879038e-06+1.95759121596099e-06j),(-0.12334360432552091+0.2999337794338041j)
1.47,(0.274485885874824-0.07787218424149693j),(0.016215331520403636-0.05312321038362139j),(1.3706452548612532e-05+3.0498637443509827e-05j),(-1.0071552227420539e-06+2.269552521757032e-06j),(-0.06263133516903785+0.31666616723156765j)
1.48,(0.25023592282581797-0.134899578225974j),(0.005028162457551815-0.05679931514125543j),(1.8419569919222483e-05+2.69457935710451e-05j),(-7.138171086803398e-07+2.5590829338160845e-06j),(-0.00016217282052967408+0.32126874083297424j)
1.49,(0.21439616326810915-0.18514091344565017j),(-0.0069641080879631004-0.05812295925715786j),(2.230679909116719e-05+2.2742731568895547e-05j),(-3.5909869220160453e-07+2.8160558640661715e-06j),(0.06168927018247439+0.31370186821085494j)
1.5,(0.1687162541186339-0.2263150701842863j),(-0.019276500484090773-0.05692568071360407j),(2.5304434604650604e-05+1.805148212562309e-05j),(5.592525360715439e-08+3.0295957496193453e-06j),(0.12059845064276498+0.2943764755401914j)
1.51,(0.11537655415876041-0.25655924845829753j),(-0.031390825253440294-0.05313504793986394j),(2.7372797653641846e-05+1.3034053925028479e-05j),(5.289018499791499e-07+3.187974160293946e-06j),(0.1743724717686915+0.26413447360993325j)
1.52,(0.05689607618355412-0.27450635400264717j),(-0.04277337944597089-0.04678069772299064j),(2.8494584280134822e-05+7.851070824092164e-06j),(1.0558727185510333e-06+3.2785332149130113e-06j),(0.22102658386334595+0.22421540867672546j)
1.53,(-0.003973001083978835-0.2793439782475494j),(-0.05289362016009484-0.037997388385290806j),(2.8673872895790664e-05+2.660752849543372e-06j),(1.6308320761946871e-06+3.2876690907797597e-06j),(0.25885434140271996+0.17620985604368383j)
1.54,(-0.0643605892084601-0.270853310511424j),(-0.061243543468880515-0.027025350845514426j),(2.7935762336000535e-05-2.382247089465121e-06j),(2.2451800983350843e-06+3.2009121649675045e-06j),(0.28648705343872327+0.12200228856778535j)
1.55,(-0.12140061069410046-0.24942578901276524j),(-0.0673572147446689-0.014207343021267131j),(2.6326556666525482e-05-7.128209469946442e-06j),(2.8870589716594475e-06+3.0031605268070166e-06j),(0.3029426765171068+0.06370341092259534j)
1.56,(-0.17235617052406288-0.2160559683984808j),(-0.070830142450948+1.7604434582124684e-05j),(2.3914307384029097e-05-1.1434208322860635e-05j),(3.5405876678212856e-06+2.6791253714882253e-06j),(0.30766292000915646+0.0035737215000536116j)
1.57,(-0.2147434273014027-0.17231014774125983j),(-0.07133821487141086+0.015123562949995535j),(2.078944738658201e-05-1.5166775585226383e-05j),(4.185040810641438e-06+2.214053386601987e-06j),(0.3005355817783693-0.056058205598239624j)
1.58,(-0.24644989147455593-0.12027023512867363j),(-0.06865576015087894+0.030510497492763966j),(1.7065195876700805e-05-1.8205414269340203e-05j),(4.794025687905393e-06+1.5948022908824377e-06j),(0.28190200676471533-0.11288090465333955j)
1.59,(-0.26584236373259046-0.06245323031628599j),(-0.06267221752151574+0.04552060035978668j),(1.2877369739033488e-05-2.0446981452929148e-05j),(5.334750501596988e-06+8.113463017619396e-07j),(0.25254903463694434-0.16468620172646492j)
1.6,(-0.27185948422155276-0.0017075804292193963j),(-0.05340680296218481+0.05945825503183142j),(8.383204340425676e-06-2.1810848505004217e-05j),(5.767520097391699e-06-1.4121967818561487e-07j),(0.21368514081911427-0.20945378527079345j)
1.61,(-0.26408375767532555+0.05891130620576495j),(-0.04102043332827782+0.07161364178424585j),(3.7587819053284406e-06-2.2244610154714543e-05j),(6.045647211759678e-06-1.2601315681825756e-06j),(0.16690084974011507-0.2454314296914416j)
1.62,(-0.24278801340822836+0.11628292623241429j),(-0.02582404896658576+0.08128987251894249j),(-8.052991151206067e-07-2.172996043173611e-05j),(6.11602491875934e-06-2.5318631587333897e-06j),(0.1141139178157779-0.2712080462522927j)
1.6300000000000001,(-0.20895162099391645+0.16737617203716065j),(-0.008282359940497032+0.08783336122453306j),(-5.11029208138203e-06-2.028819237084547e-05j),(5.920663312599565e-06-3.9285641594394696e-06j),(0.05750025360064132-0.2857766878286961j)
1.6400000000000001,(-0.16424248182837078+0.20941033614776858j),(0.010988046364649144+0.09066689276176396j),(-8.957833811577474e-06-1.7984626824274844e-05j),(5.399539753514298e-06-5.404218293935984e-06j),(-0.0005879315273924629-0.288584647647449j)
1.6500000000000001,(-0.11096191635378919+0.24001518407296463j),(0.031227335551938483+0.08932454508808847j),(-1.216054367720593e-05-1.493115819237788e-05j),(4.495130566617987e-06-6.890867886650999e-06j),(-0.05771466687810008-0.2795678910276561j)
1.6600000000000001,(-0.051951112320491655+0.25738145154002784j),(0.051548854081316264+0.08348725400965194j),(-1.4554304187166353e-05-1.1286052093178683e-05j),(3.1589595371716705e-06-8.295453441475453e-06j),(-0.11146075446915461-0.25916727177204407j)
1.67,(0.009540192356107889+0.2603922019798045j),(0.07096426934313749+0.07301739937021018j),(-1.601149546668765e-05-7.250176103076036e-06j),(1.3603850386467138e-06-9.498055169777461e-06j),(-0.1595289227359778-0.22832434284374992j)
1.68,(0.07001967431343953+0.24872500584523152j),(0.08841805790966888+0.05799036249059244j),(-1.645409446165937e-05-3.0590221733280636e-06j),(-9.023810116012639e-07-1.0352575711160627e-05j),(-0.1998495740076986-0.18845510587342357j)
1.69,(0.12594712212138834+0.22291505430230643j),(0.10283154114237325+0.038720594432938904j),(-1.5865217828266843e-05+1.0297885007738413e-06j),(-3.5894063482502614e-06-1.0691126876097148e-05j),(-0.23068248239849323-0.1414007829995061j)
1.7,(0.1739486720171325+0.1843703379869972j),(0.11315580659491421+0.01577963285099866j),(-1.4297491706126135e-05+4.753347847116264e-06j),(-6.605263978250359e-06-1.03335342856933e-05j),(-0.2507084434987759-0.08935522119974296j)
1.71,(0.2110393544160568+0.13533187983450398j),(0.11843275911530517-0.009997247271905579j),(-1.1876435067343037e-05+7.863823592088677e-06j),(-9.786000254104012e-06-9.103253488903693e-06j),(-0.2591070854771042-0.03477132104372803j)
1.72,(0.23483960056186745+0.07877453943833557j),(0.11786273786678593-0.03751905389552836j),(-8.797278242367037e-06+1.0150823734665774e-05j),(-1.2889359286041498e-05-6.850614022047895e-06j),(-0.2556159491887846+0.01975071447519211j)
1.73,(0.24376766202923533+0.018248670201361818j),(0.11087416680523357-0.06546342950779006j),(-5.314342222124994e-06+1.1463584505283206e-05j),(-1.5591685007692995e-05-3.483656559929704e-06j),(-0.2405612556975166+0.07159138805995632j)
1.74,(0.2371922096058658-0.04233317430781906j),(0.09719208083905212-0.09232091527113227j),(-1.7225001951597258e-06+1.173011998963767e-05j),(-1.7495542739186148e-05+9.94742310058472e-07j),(-0.2148609761013131+0.11824842236921518j)
1.75,(0.21552758399174682-0.09895454707838172j),(0.07689961375911133-0.11645990570016303j),(1.668361416277335e-06+1.0970352453552487e-05j),(-1.815244022119861e-05+6.446493573987522e-06j),(-0.17999513363474526+0.15747600407656764j)
1.76,(0.18025701877868594-0.14778284443528025j),(0.05048611994400783-0.13621191585006315j),(4.563827492453926e-06+9.300429708951612e-06j),(-1.7104535100678754e-05+1.2560120043497805e-05j),(-0.13794143317780935+0.18741853402826048j)
1.77,(0.13387343196210846-0.1854657167008936j),(0.018875184156832696-0.1499748507023918j),(6.7171401928856624e-06+6.926168967021957e-06j),(-1.3947593220709138e-05+1.8822838156476387e-05j),(-0.09107651601005087+0.20672964238413824j)
1.78,(0.07973358116811131-0.20941138223152733j),(-0.01657405931203872-0.15632971511063704j),(7.95892423403957e-06+4.124835218945897e-06j),(-8.414386487938298e-06+2.4513294051773874e-05j),(-0.042045780350930935+0.21466682277786145j)
1.79,(0.021829208207699548-0.21802597479888425j),(-0.0540979554040466-0.154163818859393j),(8.219895912118102e-06+1.2161606660915007e-06j),(-4.7305749862873896e-07+2.872669484432329e-05j),(0.006392342323004854+0.2111524394244565j)
1.8,(-0.035512347201038894-0.2108815556253342j),(-0.09159557639806845-0.14279126868083294j),(7.542341313188398e-06-1.4745886762035054e-06j),(9.571062398245296e-06+3.0443498823094114e-05j),(0.05153876620363629+0.196793231733663j)
1.81,(-0.0879766109566436-0.1887920136554945j),(-0.1267333861232471-0.12205971293478383j),(6.077329285892672e-06-3.6569273591840784e-06j),(2.0988409099331498e-05+2.8649354412622076e-05j),(0.09093118646540516+0.17285286353476417j)
1.82,(-0.13163010623026475-0.15378092327860265j),(-0.15708504530238057-0.0924312640543798j),(4.066588015122076e-06-5.113032552415929e-06j),(3.2577221841574024e-05+2.250683556886158e-05j),(0.12251294313164413+0.1411754960286849j)
1.83,(-0.16327305478204557-0.1089352505360467j),(-0.18030004442699596-0.05502560769456391j),(1.8104740479256065e-06-5.7270280313705194e-06j),(4.268251136877855e-05+1.1568493066593471e-05j),(0.14477873563324278+0.1040626095244927j)
1.84,(-0.18073949095586078-0.05815107788967469j),(-0.19429113601584572-0.011614844151168174j),(-3.7394218887791997e-07-5.500275195141609e-06j),(4.930852174889866e-05-3.993576228089221e-06j),(0.15688285548593225+0.06411072604179133j)
1.85,(-0.18310918092144765-0.005789492719299363j),(-0.19742528841679013+0.03543737493607861j),(-2.198400422063981e-06-4.5492322558044215e-06j),(5.034299691075814e-05-2.318147650467498e-05j),(0.1586985147953139+0.0240199054242076j)
1.86,(-0.17080292388154591+0.04372615717637921j),(-0.18870018416773252+0.08329636293026468j),(-3.4451106011640314e-06-3.085305105753277e-06j),(4.389484644883776e-05-4.4041466377251414e-05j),(0.15082031298800969-0.013611253036422681j)
1.87,(-0.14554518093570967+0.08633002097867742j),(-0.16788905649228608+0.12883332746925746j),(-3.997298459146808e-06-1.3794053418865996e-06j),(2.8721837018941813e-05-6.366997969548765e-05j),(0.13450585428226852-0.0464828887347279j)
1.8800000000000001,(-0.11019028466593597+0.11870599982476895j),(-0.13563229498428547+0.1688485869694101j),(-3.85291375829936e-06+2.8293756555325177e-07j),(4.6952611751723314e-06-7.840920271466115e-05j),(0.11155999176926212-0.07276890527998364j)
1.8900000000000001,(-0.06842687547920642+0.13860587268027533j),(-0.09346125232441933+0.20032479197559042j),(-3.118865263255481e-06+1.6480801336721996e-06j),(-2.6782246415824274e-05-8.426636420585521e-05j),(0.08417031684525102-0.0912498717483632j)
1.9000000000000001,(-0.024391129798243656+0.14505405799839616j),(-0.04374402237870794+0.22068840193588912j),(-1.9867694341765484e-06+2.533975223665104e-06j),(-6.251273932771147e-05-7.755362616063553e-05j),(0.05470932928073722-0.10138928643550367j)
1.9100000000000001,(0.01776753838359432+0.13841243546414206j),(0.010449682791262738+0.22805404407060365j),(-6.948355757645255e-07+2.8558402160939605e-06j),(-9.750650734186505e-05-5.569418327128073e-05j),(0.025523311819433212-0.10334459425246606j)
1.92,(0.05431685042561804+0.12029584262534622j),(0.06555873326010389+0.22142539960576385j),(5.167097641991013e-07+2.6332651464533175e-06j),(-0.00012534865949800306-1.8082124020943672e-05j),(-0.0012698354762464073-0.09791174388430915j)
1.93,(0.08231585360751306+0.09334825889810325j),(0.11780101858021354+0.20082841565487802j),(1.448001742614475e-06+1.9779890023203064e-06j),(-0.00013897637965416414+3.316897764918979e-05j),(-0.023952182841692867-0.0864100003964669j)
1.94,(0.0998873928259161+0.060908379244465315j),(0.16348112950661275+0.16735802277707945j),(1.9716622197505686e-06+1.0655039991417431e-06j),(-0.00013183819788078745+9.278548715006848e-05j),(-0.041328753019967385-0.07052102685414612j)
1.95,(0.1063568720709874+0.02660825948440726j),(0.19930620874985783+0.12312777515893643j),(2.0489537592907333e-06+9.68621123282282e-08j),(-9.93113474342603e-05+0.00015239345689252435j),(-0.05279000689138749-0.052101769960669675j)
1.96,(0.10224375679757826-0.006042544875157003j),(0.22267791581323673+0.07112208201136754j),(1.7277813901333203e-06-7.411865612742314e-07j),(-4.015672463244033e-05+0.00020121961058579561j),(-0.05830975657690271-0.032993523605018775j)
1.97,(0.0891127399833868-0.0340339703345128j),(0.23192924968851358+0.014961740672542377j),(1.1242519879202191e-06-1.3096815370748868e-06j),(4.2283184008317896e-05+0.00022747434711024793j),(-0.05838273552072816-0.014849219508680477j)
1.98,(0.06931079609162047-0.05514738300680369j),(0.22647978093472168-0.04139669783351413j),(3.928299863031109e-07-1.538371371307947e-06j),(0.00013946465736272876+0.0002203184236245209j),(-0.053913759504818776+0.0010023430850792416j)
1.99,(0.04563060353706901-0.06812998634718818j),(0.20689013135122025-0.09399784391576499j),(-3.0783627068827087e-07-1.4309948341827866e-06j),(0.00023788113774913158+0.0001721635316434088j),(-0.04607551539989772+0.013643145822625978j)
2.0,(0.02094922697738414-0.0727365229321321j),(0.17480921520856058-0.13922361941876538j),(-8.460788555068886e-07-1.055450662628565e-06j),(0.0003203306879530225+8.09259103971516e-05j),(-0.03615390161055683+0.022597997999612242j)
