t,S_00,S_01,S_02
0.0,0.24999999999999972,0.24999999999999967,0.49999999999999944
0.01,0.2573622261948999,0.23252288685804268,0.5102811204811906
0.02,0.26449306055541905,0.2158306746983474,0.5197494659064493
0.03,0.2714329446775993,0.20007606439285808,0.5284862865932692
0.04,0.2782312062748768,0.1853270280819448,0.5365925322793715
0.05,0.2847136117595863,0.17158442564967952,0.543641812957816
0.06,0.29104413339992885,0.15898454426584518,0.5500179540022532
0.07,0.29710186189662396,0.14751519800242144,0.5554286726695421
0.08,0.3028496897428737,0.13724111593988456,0.559793758603559
0.09,0.30841805529309646,0.12821983374710025,0.563420113844846
0.1,0.31360869918937717,0.1204370772676448,0.5658582849375214
0.11,0.3185421539724509,0.11394869447890194,0.5674061853382908
0.12,0.3232010600539436,0.10875395412698503,0.5680359403868812
0.13,0.327460350904578,0.10485060433136051,0.5674939142734472
0.14,0.33147882769493286,0.10225254763073076,0.5661608128596759
0.15,0.3351457887234066,0.10093631680935573,0.5638148200249828
0.16,0.338432299063675,0.1008832572752557,0.560433435933096
0.17,0.3414750763102999,0.1020810275945616,0.5563397284784555
0.18,0.3441170768258732,0.10448488893277724,0.5512282290693188
0.19,0.34641543694751675,0.10805769391322367,0.5452662464924907
0.2,0.3484616415284672,0.11277315923609814,0.5386663666746976
0.21,0.3500633064906649,0.1185527847733635,0.5310749545590665
0.22,0.35143696821032094,0.12537300925448353,0.5229642611051047
0.23,0.3524734671408673,0.1331682764419842,0.5141385419363127
0.24,0.35315626699427854,0.14185836885908767,0.5046088471843894
0.25,0.35362808516625854,0.15141862231857167,0.4946700402508006
0.26,0.35377989289741596,0.16175951216640133,0.4841370738230016
0.27,0.35365249982197233,0.17281008676224988,0.47311824542483094
0.28,0.3533186116466531,0.1845310850921382,0.4617604791260341
0.29,0.3527585210087729,0.19684732880266262,0.45004247343889275
0.3,0.3519512205638238,0.20966832271131086,0.4379470441819078
0.31,0.3509687454769753,0.2229504144235056,0.42561210925987353
0.32,0.34984370748022037,0.23664020926317889,0.4130983779945131
0.33,0.34854832471126046,0.2506473808125484,0.4003669392609434
0.34,0.3471143113104854,0.2649047032455604,0.3874808451873087
0.35000000000000003,0.3455938726255585,0.27937264722367655,0.37452507250954653
0.36,0.34401040988029075,0.29399400294839884,0.36153592167267046
0.37,0.34234497525942365,0.30867542547055815,0.34848727115455275
0.38,0.3406347880810772,0.32335913463172133,0.33544124629285055
0.39,0.33894510523700205,0.3380283728668532,0.3224884725870817
0.4,0.33726958298435367,0.3526027255413419,0.30961793151170464
0.41000000000000003,0.33560578166560145,0.36699447291301274,0.2968306091330538
0.42,0.3340072480590809,0.38117476488878654,0.2842013294561407
0.43,0.332519099990722,0.3951164474204306,0.2717863743520165
0.44,0.3311303842139824,0.40873179168417906,0.25957165063168064
0.45,0.3298493888726474,0.42194409878377326,0.24757526334191063
0.46,0.32873110726927146,0.43473990260119594,0.23586704646855633
0.47000000000000003,0.3278091763398119,0.44708641409266037,0.2244874964774167
0.48,0.3270658129502561,0.45888624399858813,0.21342145438400212
0.49,0.32652079372599946,0.47008402826343054,0.20270311375111805
0.5,0.3262244144511814,0.4806759586229966,0.19239196261685163
0.51,0.3261969859776541,0.49062165799711505,0.1825153879378582
0.52,0.32642192200525966,0.49983144069939034,0.1730667962909941
0.53,0.3269158917396471,0.5082623710628724,0.16407798819488287
0.54,0.3277238755326217,0.5159221086519858,0.15559970302375936
0.55,0.32885545142987965,0.522772377782689,0.14765035651952765
0.56,0.33029855358810195,0.528748199332038,0.14023143839371927
0.5700000000000001,0.33204903222590765,0.5338021742072757,0.13335616981048845
0.58,0.33415727965562425,0.5379763245515353,0.12707429260080086
0.59,0.3366231781302918,0.5412448946243946,0.12139411186080874
0.6,0.33939731884975066,0.5435178582911995,0.11629188081546908
0.61,0.34250872048188696,0.5448321471633779,0.1118011991041675
0.62,0.34599869305251796,0.5452481990461606,0.10795412397875248
0.63,0.3498027121302846,0.5446798148865685,0.10471404292680148
0.64,0.353903116288637,0.5431277164059815,0.10207981123410813
0.65,0.3583445052756611,0.5406824459852254,0.10007991482266053
0.66,0.3631087756318996,0.5373532383545702,0.09870330107750416
0.67,0.3681225715488182,0.5330868518425668,0.0979090904989806
0.68,0.3733917957470395,0.5279534174669741,0.09770102279096782
0.6900000000000001,0.37895143289093464,0.5220561249423462,0.09809083097276994
0.7000000000000001,0.384717573639908,0.5153518819761315,0.09902900649801535
0.71,0.3906531936164734,0.5078805451885273,0.1004914023485498
0.72,0.3967818652779408,0.49974904854439123,0.10248008103564053
0.73,0.4030874151184163,0.491017174263725,0.10497542254159825
0.74,0.40945748486711764,0.48164786125162545,0.10791380693194387
0.75,0.4159044476193693,0.4717571085023605,0.11128882756767505
0.76,0.42245164075230374,0.4614548669744925,0.11509583987163971
0.77,0.4290068651408352,0.45073471663511777,0.11927962405163342
0.78,0.43549417408347846,0.4396317142505235,0.12379195233548439
0.79,0.4419904721298261,0.42830826912236064,0.12864991576379245
0.8,0.4484177229317508,0.41677663746284926,0.1338042910009336
0.81,0.4546559857584039,0.40503890910773027,0.13918707738390598
0.8200000000000001,0.4607956540173539,0.3932601802148576,0.1448195689810009
0.8300000000000001,0.4667953183236358,0.3814838529680182,0.15066828183078573
0.84,0.47251679363410776,0.36969337845479755,0.15665843531034548
0.85,0.478008485735374,0.35801351512613505,0.16279265204881774
0.86,0.48329284411269485,0.346527583290782,0.16906412434747442
0.87,0.4882388737761361,0.3352188770953132,0.17540233082948706
0.88,0.49282531122673223,0.3241556530636068,0.18178008981667146
0.89,0.4971602306245966,0.3134613976720965,0.18822676684259276
0.9,0.5010731241174365,0.3030909223269158,0.1946564168171879
0.91,0.5045575532912576,0.2931114817852083,0.2010466651325182
0.92,0.507740577554027,0.28363450648356153,0.207437169110133
0.93,0.5104465897883731,0.27461009289136756,0.2137399586219592
0.9400000000000001,0.5126563049331695,0.2660857280086129,0.21992640988405246
0.9500000000000001,0.5145324413302846,0.25816984887659145,0.22605308821233067
0.96,0.5158883250947192,0.25080502780882863,0.23202657830789986
0.97,0.5167488066450066,0.24403959515919343,0.2378387741073855
0.98,0.5172056937341878,0.23793162300088894,0.24351829137188152
0.99,0.5171943671137733,0.23247074439416435,0.24902410777850312
1.0,0.516655574903195,0.22765005237609626,0.25431433916316754
1.01,0.5156632394237497,0.2235088358145966,0.25940937875138304
1.02,0.5142674728147744,0.22006922670152165,0.26432173228473216
1.03,0.5123436469081739,0.21728464487866225,0.26898259128402185
1.04,0.5099481777957054,0.21517412894783924,0.2734040077775937
1.05,0.5072023048994979,0.21377300124179974,0.2776351458871557
1.06,0.5039685212303185,0.2130187354417382,0.28160291833336815
1.07,0.5002707810821668,0.2129036208828734,0.2853050088975452
1.08,0.49628136317554455,0.21347060513731309,0.28881984270290245
1.09,0.4918489543039375,0.21464199281625226,0.2920683149367807
1.1,0.4869921145875533,0.21639408850955236,0.2950469674441189
1.11,0.4819155154715016,0.2187745058605514,0.2978561479486015
1.12,0.47642803655205684,0.22168026420841422,0.3003962200425043
1.1300000000000001,0.47060258472860145,0.22509633682015,0.30269380554234826
1.1400000000000001,0.4646169817902567,0.22905802664580363,0.3048424555437331
1.1500000000000001,0.45825604527963243,0.23343900600866765,0.30672652479747625
1.16,0.4516757020379861,0.2382522884888724,0.3084221145841956
1.17,0.44495695136149754,0.24349302612603171,0.30997617661519056
1.18,0.4379837368833153,0.24906346192065223,0.3113242553955356
1.19,0.4308407367601555,0.25494646333383403,0.3125100267094718
1.2,0.4236214587213499,0.2611416148994868,0.3135904072745389
1.21,0.4162823625559695,0.26758174229224585,0.3145443087448337
1.22,0.40875510626609335,0.2741687786727667,0.31532843299160757
1.23,0.4012883667483977,0.2809851190506313,0.31609496083119043
1.24,0.39370325508389553,0.2878890140075278,0.31674411944779746
1.25,0.38605846124073223,0.2948419594974962,0.3173075054536512
1.26,0.3785286890287419,0.30190427081348664,0.317902748567895
1.27,0.3709239502110026,0.3089107163887701,0.3184178023173238
1.28,0.3633695561419924,0.31587325212873374,0.31893172486480365
1.29,0.3559493581538879,0.32280774313109833,0.3195105004826774
1.3,0.3485393774102044,0.3295765277541278,0.32007859232354857
1.31,0.3412369021025665,0.3361898397162843,0.32070355181297006
1.32,0.33412542924334826,0.3426731859107609,0.32145450976535767
1.33,0.3270469232406015,0.3488547066094014,0.32222740360259144
1.34,0.3201613668786079,0.35480888100742064,0.323137497446269
1.35,0.31348013318274837,0.3605175687586439,0.3242065209031241
1.36,0.3068818112322007,0.3658278657327044,0.3253470018913923
1.37,0.3005363438929849,0.37085261487967347,0.3266903921332531
1.3800000000000001,0.2944014105098375,0.3755326116896674,0.3282162955846171
1.3900000000000001,0.2883922112435701,0.3797471821215172,0.3298564284262258
1.4000000000000001,0.282674067413973,0.38363403737964147,0.331746850684261
1.41,0.2771629589699976,0.3870979225638869,0.33382859421026245
1.42,0.27181542641598483,0.3900653267337073,0.33605883993178176
1.43,0.2667751209747738,0.3926789180877608,0.33856361946515456
1.44,0.2619387641729754,0.39482613466967464,0.34125882252877976
1.45,0.25729209874618325,0.39647742315545925,0.3441217282457649
1.46,0.252950324102172,0.39776558419905994,0.34725916599041734
1.47,0.24881331922757735,0.39858543393493234,0.3505803559392429
1.48,0.2448660282607868,0.3989196632512999,0.35405731306629146
1.49,0.2412270846143854,0.3989211240926864,0.35780542764108564
1.5,0.2377683776489703,0.39845616977845977,0.36169657422238616
1.51,0.23450850200327777,0.39755866909183507,0.3657318723352076
1.52,0.23153988935462128,0.39636291463716256,0.3700067146909988
1.53,0.2287362402048394,0.3947400633904016,0.374381414069283
1.54,0.22613151869731743,0.3927541309828312,0.3788741872361617
1.55,0.22380442338733433,0.39053041398843846,0.3835713548720612
1.56,0.22159673063748517,0.38790420757403465,0.38828171552781243
1.57,0.2196149126647122,0.3850371692331421,0.3931101947314681
1.58,0.21785814116225513,0.3819610029092864,0.39805632682264436
1.59,0.21619418380997094,0.3785485080748124,0.40293636611215006
1.6,0.214788340163053,0.37503820795809034,0.4079468591272093
1.61,0.21351530153818554,0.37131220456449143,0.4129222748043944
1.62,0.2123746966489565,0.3674113561818281,0.4178380415758669
1.6300000000000001,0.21144528683667554,0.3634679584410735,0.42279398033520277
1.6400000000000001,0.21064276707850782,0.3594182528617155,0.42766716151064
1.6500000000000001,0.20993027973421302,0.355262637424655,0.4323842639995
1.6600000000000001,0.20942939988648682,0.35118274491837365,0.43711309167619017
1.67,0.20898349291686286,0.347033713642981,0.4416185307602034
1.68,0.20865342010000013,0.3429322610526082,0.4459708678337778
1.69,0.2084924157307494,0.33897342063442754,0.4502506337373985
1.7,0.2083321560197921,0.33500901732143334,0.4541879506575872
1.71,0.20832665925671756,0.3312516697022159,0.45801291532408334
1.72,0.20839332699564683,0.3276413710816705,0.46159698902515217
1.73,0.20846976822065086,0.3241547653800815,0.46482642992871653
1.74,0.20869158421645248,0.3209678772833212,0.4679232212725053
1.75,0.20891158796679216,0.3179557215499882,0.47064530789506176
1.76,0.20916771518961053,0.3151945610361054,0.4730498263250775
1.77,0.2095185365349976,0.3127684277564239,0.47524121741676734
1.78,0.20984117480082914,0.31057972907171005,0.4770122994230355
1.79,0.21019129946084092,0.30871073506995694,0.47845998175090376
1.8,0.21059222265617664,0.30720238838222397,0.4796324837660136
1.81,0.21098522348867993,0.30601513449892026,0.4804340977882827
1.82,0.2113451408016229,0.3051425947888953,0.48082617635152564
1.83,0.21176210463892967,0.304680770444181,0.48097868781346365
1.84,0.21213335005333067,0.3045414731777427,0.4807186389587124
1.85,0.21246509148466608,0.30473895546160046,0.4800666770971735
1.86,0.21284813157176338,0.3053591312153984,0.4791983327457956
1.87,0.2131506218598914,0.30628048290309257,0.47788788588553166
1.8800000000000001,0.21343279211221733,0.3075561612367909,0.476256921430749
1.8900000000000001,0.21374410218525655,0.3092258877492893,0.4744076865824137
1.9000000000000001,0.21395263500941764,0.3111604055213231,0.4721147005660166
1.9100000000000001,0.21417434487116072,0.313454945956543,0.46960207046251584
1.92,0.2143865268682453,0.31607672478602566,0.4668407624705922
1.93,0.21451313281397072,0.31893839932347673,0.46370783463223963
1.94,0.2146593514781667,0.32212060724852387,0.46040659021272096
1.95,0.21479721367294746,0.32557990828695477,0.45689782958325287
1.96,0.21484341680058142,0.329212753091895,0.453046161426892
1.97,0.21494247440849043,0.333136697115065,0.4491232244221962
1.98,0.21499639169434867,0.3372350996353274,0.4449631390859976
1.99,0.21500114524373035,0.3414727454650834,0.4405740669246404
2.0,0.21503441323207026,0.3459039870757097,0.43610425789003404
