t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00,B01_z_0001_00
1.49,(1.0003346051187199-0.0001305149510694999j),(1.4838360417482326-5.380104942859798j),(-0.705753143853149+0.2012050187349017j),(1.9778747234675482+0.4526558068007958j),(5.104230943937756-5.435687149292682j),(0.5931459355938348-0.49136021781170197j),(-0.6152382301494864+2.2508883017640686j),(-0.992499102079877+0.45392305307685504j),(-1.1653808883838928-1.018482940661497j),(1.0003346051187199-0.0001305149510694999j),(1.4838360417482326-5.380104942859798j)
1.5,(1.000335910986327-0.00013158605483621746j),(1.5009708099888526-5.45486266638119j),(-0.7048920608562939+0.19659192052962188j),(1.9715542985231895+0.45525360046301916j),(5.1592012186737755-5.451324011884506j),(0.5971833037293747-0.49445166689018777j),(-0.5889857117511528+2.2272926777852557j),(-0.9876792945595254+0.45355459425024636j),(-1.1809422357138608-1.0174269397563231j),(1.000335910986327-0.00013158605483621746j),(1.5009708099888526-5.45486266638119j)
1.51,(1.0003372275319429-0.0001326558277487003j),(1.5182865233634248-5.52950233122456j),(-0.7040570897773177+0.19196802245138073j),(1.9652179971205301+0.45778277070506346j),(5.213947801927208-5.46630977902599j),(0.6012388337586884-0.4975580341910233j),(-0.5636472620921137+2.2038294307041224j),(-0.9829021354584802+0.453100571961278j),(-1.196691865190113-1.0160564694756278j),(1.0003372275319429-0.0001326558277487003j),(1.5182865233634248-5.52950233122456j)
1.52,(1.0003385599278432-0.00013371480790009912j),(1.5359283901995344-5.604243088512144j),(-0.7032426392461083+0.18732294625113508j),(1.9588320727943893+0.4602942659667658j),(5.268722054871063-5.480668629292217j),(0.6053244777449261-0.5006971463248217j),(-0.5391497474701428+2.180407871487901j),(-0.978150983902789+0.4525573307129575j),(-1.2126734441112221-1.0143730929787786j),(1.0003385599278432-0.00013371480790009912j),(1.5359283901995344-5.604243088512144j)
1.53,(1.0003399133541728-0.0001347534072199821j),(1.5540421987557016-5.679302101556166j),(-0.7024436187882094+0.1826463258151921j),(1.9523620906182857+0.4628367191952926j),(5.323769079370409-5.494414883482598j),(0.609452707045434-0.5038867792270126j),(-0.5154303824905357+2.156941730348321j),(-0.9734097431816991+0.45192042245261094j),(-1.2289324794312462-1.0123748009326208j),(1.0003399133541728-0.0001347534072199821j),(1.5540421987557016-5.679302101556166j)
1.54,(1.0003412929703868-0.00013576194431663203j),(1.5727730856937563-5.754891880935232j),(-0.7016554538510402+0.17792785398292718j),(1.9457731048103537+0.4654562252098944j),(5.379326490718231-5.5075532585039575j),(0.6136364817439297-0.5071445912194752j),(-0.49243596487430524+2.133349805811018j),(-0.9686629506839884+0.4511846618819047j),(-1.2455160154270977-1.0100556704871213j),(1.0003412929703868-0.00013576194431663203j),(1.5727730856937563-5.754891880935232j)
1.55,(1.0003427038826527-0.00013673067615532176j),(1.5922643740879197-5.831217723305521j),(-0.7008741011315613+0.17315732827951794j),(1.9390298128193972+0.46819610053193234j),(5.435623204556309-5.520079073520386j),(0.6178892242558612-0.5104880571555203j),(-0.4701221426599454+2.109556569553327j),(-0.963895867205437+0.4503441811474605j),(-1.2624723142263663-1.007405514257022j),(1.0003427038826527-0.00013673067615532176j),(1.5922643740879197-5.831217723305521j)
1.56,(1.0003441511074038-0.0001376498285539781j),(1.6126564710692457-5.908475260815147j),(-0.7000960639040776+0.16832469553618265j),(1.9320966905423251+0.47109662784061695j),(5.492878240520781-5.531978422798311j),(0.6222247973369062-0.5139344037128813j),(-0.4484527032907681+2.085492723683538j),(-0.959094565196973+0.4493924844561326j),(-1.2798505156087994-1.004409517566833j),(1.0003441511074038-0.0001376498285539781j),(1.6126564710692457-5.908475260815147j)
1.57,(1.0003456395313006-0.00013850962552814985j),(1.6340858164045278-5.986848133718118j),(-0.6993184070135986+0.16342009537378818j),(1.9249381138512145+0.4741947880026553j),(5.551299547708772-5.543228331032884j),(0.6266574866224592-0.5175005458669385j),(-0.42739887587743186+2.061095704821961j),(-0.9542460153790385+0.44832250320257966j),(-1.2977002712427466-1.001047862744586j),(1.0003456395313006-0.00013850962552814985j),(1.6340858164045278-5.986848133718118j)
1.58,(1.0003471738679455-0.00013930031757294458j),(1.656683875359885-6.066505804705364j),(-0.6985387711739123+0.15843390252771786j),(1.9175184720554914+0.4775239833571754j),(5.611082859301882-5.553796907801358j),(0.6312019877285157-0.5212030245434452j),(-0.4069386399377104+2.036310127718254j),(-0.9493381710136422+0.4471266522184183j),(-1.316071347233192-0.9972953399777637j),(1.0003471738679455-0.00013930031757294458j),(1.656683875359885-6.066505804705364j)
1.59,(1.0003487586117574-0.00014001220902033743j),(1.6805761719046846-6.1476015390274545j),(-0.6977553861910489+0.15335676799230852j),(1.9098022792615306+0.48111375662385625j),(5.672410585602265-5.563643518123146j),(0.63587339785281-0.5250579454163598j),(-0.38705603606911865+2.011088160196738j),(-0.9443600490043007+0.44579688775006293j),(-1.3350131875575804-0.9931209452015666j),(1.0003487586117574-0.00014001220902033743j),(1.6805761719046846-6.1476015390274545j)
1.6,(1.0003503979894885-0.000140635684664075j),(1.7058813614611918-6.230270579130897j),(-0.6969670827226743+0.14817965896179947j),(1.901754289785719+0.4849895104488602j),(5.73545075632559-5.572718985890951j),(0.6406872117301782-0.5290809187818304j),(-0.36774047622604866+1.985389820953416j),(-0.9393018068886131+0.4443247677447755j),(-1.3545744296720563-0.9884874667109613j),(1.0003503979894885-0.000140635684664075j),(1.7058813614611918-6.230270579130897j)
1.61,(1.0003520959099197-0.0001411612358885907j),(1.7327103457672168-6.314628545750637j),(-0.6961733021826058+0.14289389754149073j),(1.893339623794805+0.489172233213704j),(5.800356024232931-5.580965846159861j),(0.6456593217183041-0.5332870004038646j),(-0.3489860534673171+1.9591831921143343j),(-0.9341548147016834+0.4427015149704856j),(-1.3748023623153633-0.983351063716738j),(1.0003520959099197-0.0001411612358885907j),(1.7327103457672168-6.314628545750637j)
1.62,(1.0003538559123326-0.0001415794865816865j),(1.7611654357406579-6.400770098735261j),(-0.6953741044072725+0.1374911981976993j),(1.8845239091577002+0.49367823730583277j),(5.867262743045921-5.588318660942603j),(0.6508060217192875-0.5376906331907085j),(-0.33079085312447803+1.932444539466702j),(-0.9289117206241398+0.4409180834143487j),(-1.3957423143641723-0.9776608419515346j),(1.0003538559123326-0.0001415794865816865j),(1.7611654357406579-6.400770098735261j)
1.6300000000000001,(1.0003556811144028-0.00014188121914515719j),(1.791339571250733-6.488767889967846j),(-0.6945701727175195+0.13196370390824227j),(1.8752734450680915+0.4985189165794369j),(5.936290133051112-5.594704411280918j),(0.6561440145785049-0.5423055895235399j),(-0.31315626922776535+1.9051583348320333j),(-0.9235665092891315+0.43896522829845175j),(-1.417436962562525-0.971358433728877j),(1.0003556811144028-0.00014188121914515719j),(1.791339571250733-6.488767889967846j)
1.6400000000000001,(1.0003575741602027-0.0001420574009386892j),(1.8233156091481868-6.5786718373674375j),(-0.6937628160344405+0.12630402096680218j),(1.8655553923151889+0.5037005302065107j),(6.007539547837172-5.600042975990059j),(0.6616904225443758-0.5471449140209268j),(-0.2960863316316542+1.8773171770814612j),(-0.918114551611271+0.4368335799202541j),(-1.4399255451416513-0.9643775926234552j),(1.0003575741602027-0.0001420574009386892j),(1.8233156091481868-6.5786718373674375j)
1.6500000000000001,(1.00035953716904-0.0001420992115091522j),(1.8571656925492774-6.670508743085998j),(-0.6929539677413833+0.12050525238496963j),(1.855337994126774+0.5092240205084301j),(6.081093855206195-5.604247704671673j),(0.6674628003199307-0.5522208664839172j),(-0.27958705053279553+1.8489216106915602j),(-0.9125526450195105+0.43451372137307476j),(-1.4632429678740608-0.956643816228439j),(1.00035953716904-0.0001420992115091522j),(1.8571656925492774-6.670508743085998j)
1.6600000000000001,(1.0003615716858834-0.00014199807095711565j),(1.8929507150194913-6.7642822708411305j),(-0.6921461810251673+0.11456102982544179j),(1.844590830281079+0.5150848726359005j),(6.157016944452929-5.60722608945236j),(0.6734791501883086-0.5575448647280351j),(-0.2636657859125057+1.819979843379398j),(-0.9068790430273372+0.4319962700321719j),(-1.4874187891099242-0.9480740143011509j),(1.0003615716858834-0.00014199807095711565j),(1.8929507150194913-6.7642822708411305j)
1.67,(1.000363678634155-0.00014174566977956848j),(1.9307198928530245-6.859973287261887j),(-0.6913426204768915+0.10846554398928097j),(1.8332851056914947+0.5212730240904427j),(6.235353370921542-5.608880536538918j),(0.6797579386480642-0.563127426970475j),(-0.24833064982814518+1.7905073670990126j),(-0.9010934731587007+0.4292719625097647j),(-1.5124760710048677-0.9385762440587294j),(1.000363678634155-0.00014174566977956848j),(1.9307198928530245-6.859973287261887j)
1.68,(1.000365858271674-0.0001413340005016603j),(1.9705104570756464-6.957540560793434j),(-0.6905470497853129+0.1022135733698508j),(1.8213939729355308+0.5277728320076611j),(6.316128147054642-5.609109235214378j),(0.6863181139488267-0.5689781134041644j),(-0.23358994941122968+1.7605264893828652j),(-0.8951971423670638+0.4263317425937731j),(-1.5384300856896278-0.9280495394260514j),(1.000365858271674-0.0001413340005016603j),(1.9705104570756464-6.957540560793434j)
1.69,(1.0003681101505502-0.00014075539136902977j),(2.012347474200112-7.056921799882998j),(-0.6897638154122374+0.09580051127662212j),(1.8088928862687927+0.5345631058017906j),(6.399346687086455-5.607807118463605j),(0.6931791238717012-0.5751054665560795j),(-0.21945167791988796+1.7300657845280314j),(-0.8891927292372028+0.42316685149696365j),(-1.5652868678210874-0.9163838666160528j),(1.0003681101505502-0.00014075539136902977j),(2.012347474200112-7.056921799882998j)
1.7,(1.0003704330818157-0.00014000254231643427j),(2.0562438013187494-7.158035000711764j),(-0.6889978261982049+0.08922239102401494j),(1.7957599825961534+0.5416172121531485j),(6.484994910163378-5.604866906150807j),(0.7003609330500058-0.5815169499964732j),(-0.20592306028004534+1.699159476326745j),(-0.8830843624429251+0.4197689195629799j),(-1.5930416091012123-0.9034602444146854j),(1.0003704330818157-0.00014000254231643427j),(2.0562438013187494-7.158035000711764j)
1.71,(1.0003728251055717-0.0001390685633578307j),(2.1022001770951673-7.2607800644910965j),(-0.6882545289063229+0.08247590917434086j),(1.781976482744564+0.5489032583610792j),(6.57303950407609-5.600180218701662j),(0.7078840390726395-0.5882188849399225j),(-0.1930101582973047+1.6678467658133118j),(-0.8768775851455602+0.41613005841105366j),(-1.6216768962993608-0.8891510737302257j),(1.0003728251055717-0.0001390685633578307j),(2.1022001770951673-7.2607800644910965j)
1.72,(1.0003752834674033-0.00013794701546142858j),(2.150205445934861-7.365040636051089j),(-0.6875398797707774+0.0755584467201376j),(1.7675271042908753+0.5563843587517795j),(6.663428349048456-5.593638746685643j),(0.7157694865527386-0.5952163842601165j),(-0.18071753921212075+1.636171118760666j),(-0.8705793052533533+0.4122429523595178j),(-1.65116080242499-0.8733207270055704j),(1.0003752834674033-0.00013794701546142858j),(2.150205445934861-7.365040636051089j)
1.73,(1.00037780460178-0.0001366319538757774j),(2.2002369084082525-7.470686109671902j),(-0.6868603121726753+0.06846808809006814j),(1.7524004752539935+0.5640189871070767j),(6.756091098245665-5.585135459643679j),(0.7240388782765714-0.6025132834301123j),(-0.16904800959891342+1.6041795283586968j),(-0.864197731715011+0.4081009478565408j),(-1.6814448513188294-0.855826453482295j),(1.00037780460178-0.0001366319538757774j),(2.2002369084082525-7.470686109671902j)
1.74,(1.0003803841231085-0.000135117973771318j),(2.252260787183825-7.577573745164491j),(-0.6862227006178949+0.06120363786426876j),(1.7365895362835688+0.5717614159739864j),(6.8509399089366365-5.5745658360290244j),(0.7327143824702631-0.6101120679008176j),(-0.15800241487463498+1.5719217686264169j),(-0.8577422972846679+0.403698139570815j),(-1.7124618893480414-0.8365196603615709j),(1.0003803841231085-0.000135117973771318j),(2.252260787183825-7.577573745164491j)
1.75,(1.0003830168250496-0.00013340025794604104j),(2.306232794564158-7.685550837153624j),(-0.6856343212381157+0.053764635089600096j),(1.7200919176900058+0.5795622412607145j),(6.9478703156697454-5.56182909526486j),(0.7418187351336405-0.6180137964455052j),(-0.1475795029811394+1.5394496536687636j),(-0.8512235684626311+0.3990294517599859j),(-1.7441239142660647-0.8152476317384039j),(1.0003830168250496-0.00013340025794604104j),(2.306232794564158-7.685550837153624j)
1.76,(1.0003856966886286-0.00013147462623002164j),(2.3620987853860544-7.794456883159495j),(-0.6851028090759548+0.046151365092554304j),(1.7029102768803306+0.5873689877891068j),(7.046762234482423-5.5468294126769j),(0.7513752362902947-0.6262180200304454j),(-0.13777584922667227+1.506816316935186j),(-0.8446531435779491+0.39409071354352854j),(-1.7763199305800146-0.791855745690673j),(1.0003856966886286-0.00013147462623002164j),(2.3620987853860544-7.794456883159495j)
1.77,(1.0003884168995862-0.00012933758610177457j),(2.4197954776412294-7.904125701017779j),(-0.6846361124471729+0.03836486869731304j),(1.6850525815934747+0.5951267885548628j),(7.147481085137388-5.529477098411075j),(0.76140773889046-0.6347226958248775j),(-0.12858583788860325+1.4740755232456177j),(-0.8380435402263701+0.3888787267608335j),(-1.8089139225882507-0.7661902437946513j),(1.0003884168995862-0.00012933758610177457j),(2.4197954776412294-7.904125701017779j)
1.78,(1.0003911698753118-0.000126986383914987j),(2.4792512227003676-8.014387452874896j),(-0.6842424446965937+0.030406948768199823j),(1.6665323248436765+0.6027791274734617j),(7.249879016716654-5.509689722347661j),(0.7719406289787062-0.6435240960416396j),(-0.12000169504745642+1.4412810246130843j),(-0.8314080735020055+0.3833913251937032j),(-1.8417430597995568-0.7381015952028858j),(1.0003911698753118-0.000126986383914987j),(2.4792512227003676-8.014387452874896j)
1.79,(1.000393947301582-0.00012441905601909178j),(2.540386807407728-8.125070540834253j),(-0.6839302336793484+0.022280174008966834j),(1.6473686587236347+0.6102686325144925j),(7.3537962206446-5.487393168402153j),(0.7829987956027702-0.6526167114073228j),(-0.11201356627627398+1.4084859689149927j),(-0.8247607266549001+0.37762742407254973j),(-1.8746162733537897-0.7074484778446105j),(1.000393947301582-0.00012441905601909178j),(2.540386807407728-8.125070540834253j)
1.8,(1.0003967401791976-0.00012163447895875435j),(2.603116271423944-8.236003347690062j),(-0.6837080693054076+0.0139878799653422j),(1.6275864361881656+0.6175379035179j),(7.459062314369768-5.462522603375744j),(0.7946075887951506-0.6619931492027419j),(-0.10460963226369578+1.3757423683539531j),(-0.8181160159626673+0.37158705896261685j),(-1.9073133642995272-0.6741023710637405j),(1.0003967401791976-0.00012163447895875435j),(2.603116271423944-8.236003347690062j)
1.81,(1.0003995388804698-0.0001186324178433211j),(2.6673477248633-8.347015804510045j),(-0.683584649483474+0.005534167191317864j),(1.607216152584286+0.6245303568140209j),(7.565497778507798-5.435023347587155j),(0.8067927638086351-0.6716440259960492j),(-0.09777625519907815+1.343100632506432j),(-0.8114888517166189+0.36527141333414276j),(-1.9395848224014884-0.6379527163098039j),(1.0003995388804698-0.0001186324178433211j),(2.6673477248633-8.347015804510045j)
1.82,(1.000402333215349-0.0001154135719079944j),(2.7329841533162353-8.457940774651982j),(-0.6835687247910097-0.003076103446969j),(1.5862937819147105+0.6311910671960766j),(7.672915430214557-5.404851636786812j),(0.8195804096354362-0.6815578554173957j),(-0.09149814877242024+1.3106091686760009j),(-0.8048943972873542+0.3586828343507365j),(-1.971152544131038-0.5989125553276973j),(1.000402333215349-0.0001154135719079944j),(2.7329841533162353-8.457940774651982j)
1.83,(1.0004051125068265-0.00011197961623104901j),(2.79992419959148-8.568615250780082j),(-0.683669042181605-0.011837318343944128j),(1.5648605064716525+0.6374675869545647j),(7.781121915884307-5.371975267225803j),(0.8329968596935564-0.6917209316011466j),(-0.08575856490708203+1.2783140503251829j),(-0.7983479282494188+0.35182483665458486j),(-2.0017116367215664-0.5569244997711609j),(1.0004051125068265-0.00011197961623104901j),(2.79992419959148-8.568615250780082j)
1.84,(1.0004078656750715-0.00010833323854862643j),(2.868062913797797-8.678881367367039j),(-0.6838942880205023-0.02074312160819343j),(1.5429623423705234+0.6433107216744014j),(7.88991920690709-5.336374118139029j),(0.8470685824317986-0.7021172092545j),(-0.08053949080692921+1.2462587526163025j),(-0.7918646935092635+0.3447020941761398j),(-2.0309334775854686-0.5119668248953052j),(1.0004078656750715-0.00010833323854862643j),(2.868062913797797-8.678881367367039j)
1.85,(1.0004105813295903-0.00010447817009569154j),(2.937292465585008-8.788587235924041j),(-0.6842530307156127-0.029786428394022076j),(1.5206496674359993+0.6486752433640334j),(7.9991060831208864-5.298040548227501j),(0.8618220494971923-0.71272818170457j),(-0.07582185051478194+1.2144839525893023j),(-0.7854597802972202+0.3373204202403294j),(-2.0584701613292657-0.46405941731024475j),(1.0004105813295903-0.00010447817009569154j),(2.937292465585008-8.788587235924041j)
1.86,(1.000413247868523-0.00010041920943330536j),(3.0075028143827525-8.89758761379071j),(-0.6847536631866723-0.038959441103905396j),(1.4979766616224612+0.6535205232199661j),(8.108479589701215-5.256979664922929j),(0.8772835790386435-0.7235327587331323j),(-0.07158570589820752+1.183027390267261j),(-0.7791479847563654+0.32968673647219887j),(-2.083960407535319-0.41326924885201743j),(1.000413247868523-0.00010041920943330536j),(3.0075028143827525-8.89758761379071j)
1.87,(1.0004158535840264-9.61622382709156e-05j),(3.078582335250782-9.00574441980899j),(-0.6854043453913039-0.048253668453975926j),(1.4750006734703414+0.6578110688598546j),(8.217836454489444-5.213209467241651j),(0.8934791517041726-0.7345071465311794j),(-0.06781045275639148+1.1519237860159914j),(-0.7729436896944466+0.3218090312142429j),(-2.1070369208425137-0.3597150031663443j),(1.0004158535840264-9.61622382709156e-05j),(3.078582335250782-9.00574441980899j)
1.8800000000000001,(1.0004183867725316-9.171422837530434e-05j),(3.15041839945377-9.112927111721444j),(-0.6862129471056688-0.05765994739731962j),(1.451781528817428+0.6615169540563393j),(8.326974454118941-5.166760864848062j),(0.9104341969446968-0.7456247326935962j),(-0.06447500853730954+1.1212048087864241j),(-0.7668607508663505+0.31369630834879075j),(-2.127335092899565-0.30357045725943793j),(1.0004183867725316-9.171422837530434e-05j),(3.15041839945377-9.112927111721444j)
1.8900000000000001,(1.000420835848525-8.708323876919015e-05j),(3.222897910088533-9.219012940824266j),(-0.6871869911410364-0.06716846790574109j),(1.4283807999480713+0.6646141326996863j),(8.435693718707336-5.117677577529092j),(0.9281733473861692-0.7568559798237895j),(-0.06155798893316399+1.0908990894202306j),(-0.7609123929317342+0.3053585275664813j),(-2.144502819166002-0.2450662255819036j),(1.000420835848525-8.708323876919015e-05j),(3.222897910088533-9.219012940824266j)
1.9000000000000001,(1.0004231894603706-8.227840256012036e-05j),(3.2959077940318195-9.323887099428896j),(-0.6883335971677055-0.07676880061940543j),(1.4048610544744067+0.6670846327047552j),(8.543797966304002-5.066015920622078j),(0.94672015929761-0.7681683320206666j),(-0.059037871356544855+1.0610322729752175j),(-0.7551111159938155+0.2968065372326436j),(-2.158211081629709-0.1844895161677217j),(1.0004231894603706-8.227840256012036e-05j),(3.2959077940318195-9.323887099428896j)
1.9100000000000001,(1.0004254366065926-7.730990290497369e-05j),(3.3693354521660996-9.427442776200014j),(-0.6896594263157216-0.08644992738471952j),(1.3812851034627593+0.6689166296357966j),(8.65109565967929-5.0118444830392415j),(0.9660967975906184-0.7795261392621269j),(-0.056893143969725134+1.0316271039973361j),(-0.7494686133794763+0.2880520010756125j),(-2.1681648338623347-0.12218163078582593j),(1.0004254366065926-7.730990290497369e-05j),(3.3693354521660996-9.427442776200014j)
1.92,(1.0004275667509612-7.218893779817254e-05j),(3.4430691703093466-9.529581133584966j),(-0.6911706267288537-0.09620027471308745j),(1.3577152676666993+0.6701044037321104j),(8.757401079390807-4.9552437054025935j),(0.9863236843627169-0.7908906054595611j),(-0.05510243953144238+1.0027035387984449j),(-0.7439957010760171+0.279107319954746j),(-2.174113632074497-0.058533063148341766j),(1.0004275667509612-7.218893779817254e-05j),(3.4430691703093466-9.529581133584966j)
1.93,(1.0004295699346797-6.692767357464198e-05j),(3.516998493557419-9.630211220455337j),(-0.6928727802649628-0.1060077502056184j),(1.3342126792837836+0.67064818757889j),(8.862535308341963-4.896305366458206j),(1.0074191107683113-0.8022197667080632j),(-0.05364465383211926+0.9742788790608654j),(-0.7387022590037711+0.2699855499628759j),(-2.17586139975238+0.006023795568756166j),(1.0004295699346797-6.692767357464198e-05j),(3.516998493557419-9.630211220455337j)
1.94,(1.0004314368839615-6.153918723364749e-05j),(3.5910145668788913-9.729249831848728j),(-0.6947708505623997-0.11585978200012212j),(1.3108366345409517+0.6705539147146533j),(8.966327124246101-4.835131986398112j),(1.0293988129907128-0.8134685069593236j),(-0.052499048907557855+0.9463679214507477j),(-0.7335971840830173+0.2607003180812491j),(-2.1732747065898192+0.07102415871298838j),(1.0004314368839615-6.153918723364749e-05j),(3.5910145668788913-9.729249831848728j)
1.95,(1.000433159111308-5.6037397907727444e-05j),(3.665010444814827-9.826621326410255j),(-0.6968691327280405-0.1257433613052701j),(1.2876440097930661+0.6698328818776951j),(9.068613797518621-4.771836156003204j),(1.0522755143153724-0.8245886189507377j),(-0.05164534155463453+0.9189831183545286j),(-0.7286883548537907+0.2512657365389663j),(-2.166288992529071+0.13598218922372973j),(1.000433159111308-5.6037397907727444e-05j),(3.665010444814827-9.826621326410255j)
1.96,(1.0004347290088638-5.043698802770817e-05j),(3.7388813730596815-9.922257410850634j),(-0.6991712049471287-0.13564508809092843j),(1.2646887508687037+0.6685013392969937j),(9.169241793136658-4.7065398006537595j),(1.0760584367789894-0.8355289186770388j),(-0.05106377792542125+0.8921347453322852j),(-0.7239826072325222+0.2416963169386211j),(-2.1549122756773813+0.20040366109294355j),(1.0004347290088638-5.043698802770817e-05j),(3.7388813730596815-9.922257410850634j)
1.97,(1.0004361399323205-4.475331494240053e-05j),(3.8125250445598846-10.01609689950617j),(-0.7016798823668238-0.14555122000166915j),(1.242021442299237+0.6665800244066219j),(9.268067375931393-4.639373388258245j),(1.1007527875907177-0.846235421921949j),(-0.05073519515555582+0.8658310713881262j),(-0.7194857208428881+0.2320068851009217j),(-2.1392260415982403+0.2637992855261763j),(1.0004361399323205-4.475331494240053e-05j),(3.8125250445598846-10.01609689950617j)
1.98,(1.0004373862739773-3.900231396381812e-05j),(3.885841832584912-10.108085455934967j),(-0.70439717366233-0.1554477245505987j),(1.2196889599937646+0.6640936546323191j),(9.36495711961633-4.570475090046609j),(1.1263592274737475-0.8566515913007422j),(-0.05064107109696712+0.8400785286742913j),(-0.7152024152413718+0.2222124974593753j),(-2.1193832062328415+0.32569797925455085j),(1.0004373862739773-3.900231396381812e-05j),(3.885841832584912-10.108085455934967j)
1.99,(1.0004384635237307-3.320039398735405e-05j),(3.9587350030188477-10.198175322431672j),(-0.7073242407543424-0.1653203346312994j),(1.197734208024417+0.6610703945293677j),(9.459788320610238-4.499989902981013j),(1.1528733302215388-0.8667186618186603j),(-0.050763563283255854+0.814881878758838j),(-0.711136355271227+0.21232835970740127j),(-2.0956032548498627+0.3856593461947444j),(1.0004384635237307-3.320039398735405e-05j),(3.9587350030188477-10.198175322431672j)
2.0,(1.0004393683169654-2.736432699983739e-05j),(4.031110907902441-10.286325042398119j),(-0.7104613622065151-0.17515460735548102j),(1.1761959375852484+0.6575413116369044j),(9.5524493418495-4.428068726644512j),(1.1802850450421998-0.8763760520422303j),(-0.05108553827050799+0.7902443730975948j),(-0.7072901647209794+0.20236974826991924j),(-2.0681648614686723+0.44328470398224323j),(1.0004393683169654-2.736432699983739e-05j),(4.031110907902441-10.286325042398119j)
